enzyme_name	ec_number	match_type	matched_name	substrate
6-phospho-beta-galactosidase	3.2.1.85	primary	6-phospho-beta-galactosidase	
ACC deaminase	3.5.99.7	synonym	ACC deaminase	
Acid phosphatase	3.1.3.2	primary	acid phosphatase	
Alanine arylamidase	3.5.-.-	partial		
Alanine-phenylalanine-proline arylamidase	3.5.-.-	partial		
Alanyl-Phenylalanyl-Proline arylamidase	3.5.-.-	partial		
Alkaline phosphatase	3.1.3.1	primary	alkaline phosphatase	
Arginine arylamidase	3.5.-.-	partial		
Arginine dihydrolase	3.5.3.6	synonym	arginine dihydrolase	
Aspartic acid arylamidase	3.5.-.-	partial		
Catalase	1.11.1.6	primary	catalase	
Cytochrome oxidase	7.1.1.9	synonym	cytochrome oxidase	
D-aminoacylase	3.5.1.81	synonym	D-aminoacylase	
DNase	3.1.21.1	synonym	DNase	
Dnase	3.1.21.1	synonym	DNase	
Esterase	3.1.1.-	partial		
Gamma-glutamyl transferase	2.-.-.-	partial		
Glutamyl glutamic acid arylamidase	3.5.-.-	partial		
Glycine arylamidase	3.5.-.-	partial		
Histidine arylamidase	3.5.-.-	partial		
L-arginine arylamidase	3.5.-.-	partial		
L-arginine dihydrolase	3.-.-.-	partial		
L-aspartate arylamidase	3.5.-.-	partial		
L-leucyl-2-naphthylamide hydrolase	3.-.-.-	partial		
Leucine aminopeptidase	3.4.11.1	synonym	leucine aminopeptidase	
Leucine arylamidase	3.5.-.-	partial		
Lipase	3.1.1.3	synonym	lipase	
Lysine decarboxylase	4.1.1.18	primary	lysine decarboxylase	
N-acetyl-beta-glucosaminidase	3.2.1.52	synonym	N-acetyl-beta-glucosaminidase	
N-acetyl-glucosidase	3.2.1.-	partial		
Nitrate reductase	1.-.-.-	partial		
Ornithine decarboxylase	4.1.1.17	primary	ornithine decarboxylase	
Phenylalanine arylamidase	3.5.-.-	partial		
Phospholipase	3.1.1.-	partial		
Proline arylamidase	3.5.-.-	partial		
Pyrazinamidase	3.5.-.-	partial		
Pyroglutamic acid arylamidase	3.5.-.-	partial		
Pyrrolidonyl arylamidase	3.5.-.-	partial		
Ribulose-bisphosphate carboxylase	4.1.1.39	primary	ribulose-bisphosphate carboxylase	
Serine arylamidase	3.5.-.-	partial		
Tyrosine arylamidase	3.5.-.-	partial		
Urease	3.5.1.5	primary	urease	
Xylanase	3.2.1.32	synonym	xylanase	
acetate kinase	2.7.2.1	primary	acetate kinase	
acid phosphatase	3.1.3.2	primary	acid phosphatase	
adenylate cyclase	4.6.1.1	primary	adenylate cyclase	
agarase	3.2.1.81	synonym	agarase	
alanine aminopeptidase	3.4.-.-	partial		
alanine arylamidase	3.5.-.-	partial		
alanine phenylalanin proline arylamidase	3.5.-.-	partial		
alcohol dehydrogenase	1.1.1.1	primary	alcohol dehydrogenase	
alkaline phosphatase	3.1.3.1	primary	alkaline phosphatase	
alpha-Amylase	3.2.1.1	primary	alpha-amylase	
alpha-L-arabinofuranosidase	3.2.1.55	synonym	alpha-L-arabinofuranosidase	
alpha-L-rhamnosidase	3.2.1.40	primary	alpha-L-rhamnosidase	
alpha-chymotrypsin	3.4.21.1	synonym	alpha-chymotrypsin	
alpha-galactosidase	3.2.1.22	primary	alpha-galactosidase	
alpha-glucosidase	3.2.1.20	primary	alpha-glucosidase	
alpha-glucuronidase	3.2.1.139	primary	alpha-glucuronidase	
alpha-mannosidase	3.2.1.24	primary	alpha-mannosidase	
alpha-xylosidase	3.2.1.177	synonym	alpha-xylosidase	
arginine Dihydrolase	3.5.3.6	synonym	arginine dihydrolase	
arginine arylamidase	3.5.-.-	partial		
arginine decarboxylase	1.13.12.1	synonym	arginine decarboxylase	
arginine dihydrolase	3.5.3.6	synonym	arginine dihydrolase	
benzoyl-D-arginine arylamidase	3.5.-.-	partial		
beta-D-fucosidase	3.2.1.38	primary	beta-D-fucosidase	
beta-D-galactosidase	3.2.1.-	partial		
beta-Galactosidase 6-phosphate	3.2.1.-	partial		
beta-L-arabinosidase	3.2.1.88	synonym	beta-L-arabinosidase	
beta-N-acetylgalactosaminidase	3.2.1.53	primary	beta-N-acetylgalactosaminidase	
beta-alanine arylamidase pNA	3.5.-.-	partial		
beta-galactosaminidase	3.4.-.-	partial		
beta-galactosidase	3.2.1.23	primary	beta-galactosidase	
beta-galactosidase-6-phosphate	3.2.1.-	partial		
beta-glucosaminidase	3.4.-.-	partial		
beta-glucosidase	3.2.1.21	primary	beta-glucosidase	
beta-glucuronidase	3.2.1.31	primary	beta-glucuronidase	
beta-lactamase	3.5.2.6	primary	beta-lactamase	
beta-mannosidase	3.2.1.25	primary	beta-mannosidase	
beta-xylosidase	3.2.1.37	synonym	beta-xylosidase	
carboxylesterase	3.1.1.1	primary	carboxylesterase	
catalase	1.11.1.6	primary	catalase	
cellulase	3.2.1.4	primary	cellulase	
chitinase	3.2.1.14	primary	chitinase	
cholesterol esterase	3.1.1.13	synonym	cholesterol esterase	
chymotrypsin	3.4.21.1	primary	chymotrypsin	
cyclomaltodextrin glucanotransferase	2.4.1.19	primary	cyclomaltodextrin glucanotransferase	
cystine aminopeptidase	3.4.11.3	synonym	cystine aminopeptidase	
cystine arylamidase	3.5.-.-	partial		
cytochrome oxidase	7.1.1.9	synonym	cytochrome oxidase	
cytochrome-c oxidase	7.1.1.9	primary	cytochrome-c oxidase	
endo-1,3(4)-beta-glucanase	3.2.1.6	primary	endo-1,3(4)-beta-glucanase	
endo-1,4-beta-xylanase	3.2.1.8	primary	endo-1,4-beta-xylanase	
esterase	3.1.1.-	partial		
esterase (C 4)	3.1.1.-	partial		
esterase Lipase (C 8)	3.1.1.-	partial		
esterase lipase (C 8)	3.1.1.-	partial		
fructose-6-phosphate phosphoketolase	4.1.2.22	primary	fructose-6-phosphate phosphoketolase	
gamma-glutamyltransferase	2.3.2.2	primary	gamma-glutamyltransferase	
glu-gly-arg-arylamidase	3.5.-.-	partial		
glucosaminidase	3.4.-.-	partial		
glucose isomerase	5.-.-.-	partial		
glucosidase	3.2.1.-	partial		
glutamate decarboxylase	4.1.1.15	primary	glutamate decarboxylase	
glutamate dehydrogenase	1.4.1.2	primary	glutamate dehydrogenase	
glutamin glycerin arginin arylamidase	3.5.-.-	partial		
glutamyl arylamidase pNA	3.5.-.-	partial		
glutamyl-glutamate arylamidase	3.5.-.-	partial		
glu–gly–arg arylamidase	3.5.-.-	partial		
glu–gly–arg-arylamidase	3.5.-.-	partial		
glycin arylamidase	3.5.-.-	partial		
glycyl tryptophan arylamidase	3.5.-.-	partial		
heparin lyase	4.2.2.7	primary	heparin lyase	
hippurate hydrolase	3.5.1.32	primary	hippurate hydrolase	
histidine arylamidase	3.5.-.-	partial		
hyaluronate lyase	4.2.2.1	primary	hyaluronate lyase	
hyaluronidase	3.2.1.35	synonym	hyaluronidase	
hydrogenase	1.12.1.2	synonym	hydrogenase	
l-pyrrolydonyl arylamidase	3.5.-.-	partial		
